title,country,description,source,date,salary_monthly_usd,seniority
Data Analyst,us,"Role: Data Analyst Location: Hybrid Phoenix, AZ (PREFER LOCALS) Duration: 6 Months Client: KForce Description: Required qualifications · Strong attention to detail with a highly disciplined approach to data analysis (no shortcuts or assumptions) · Experience identifying and resolving data quality issues (e.g., inconsistent values, lack of standards) · Solid understanding of bi-directional data mapping and data transformation concepts · Ability to create clear, structured mapping documentation t…",adzuna,2026-05-28,7453.58,Not Specified
Data Analyst,us,"Title - Data Analyst Client - Banking And Finance Contract - 7 Months Pay Range - $60 to $65 Must Haves: Advanced Excel VBA Python (for efficiency, not hardcore dev) Data querying skills Capital Markets Background Can be: fixed income cash (bonds), OTC Derivatives (interest rate, commodities, equities, fx options), Core FX (swaps forwards), equity cash (stocks, exchange traded, convertible bonds) Plus: Power BI (preferred over Tableau). Dashboarding mindset. The Company offers the following ben…",adzuna,2026-04-30,7901.83,Not Specified
Data Analyst,us,"Job: 3035907 Job Description: Data Analyst (Entry-Level) Experience: 1-3 Years Overview We are seeking a detail-oriented and analytical Data Analyst with 1-3 years of experience to support data-driven decision making. This role will focus on analyzing complex datasets, building visualizations, and supporting data integration efforts to deliver actionable insights across the organization. Key Responsibilities Analyze structured and unstructured data to identify trends, patterns, and insights tha…",adzuna,2026-05-28,7677.65,Junior
Data Analyst,us,"About the job We are At Synechron, we believe in the power of digital to transform businesses for the better. Our global consulting firm combines creativity and innovative technology to deliver industry-leading digital solutions. Synechron’s progressive technologies and optimization strategies span end-to-end Artificial Intelligence, Consulting, Digital, Cloud & DevOps, Data, and Software Engineering, servicing an array of noteworthy financial services and technology firms. Through research and…",adzuna,2026-05-20,10112.81,Senior
Data Analyst,us,"Title: Data Analyst Location: Remote Duration: 12 Months Summary: Support data-informed decision-making for Lilypad, our early-childhood education platform. Build pipelines, transformation logic, and data products that help educators support children while optimizing for adoption, engagement, and renewal. Stack: AWS, dbt Cloud, Snowflake, Claude, Tableau. Must-have: Advanced SQL; Snowflake; Git; production dbt experience; strong coding and documentation practices. Projects will be an ongoing mi…",adzuna,2026-05-21,6062.2,Not Specified
Data Analyst,us,"Position: Product Analyst Location: McLean, VA Duration: Contract with potential for extension What You’ll Do · Analyze product and business data to generate actionable insights that drive decision-making and product improvements · Write complex queries across SQL and NoSQL (MongoDB) data sources to extract, transform, and analyze large, distributed data sets · Partner closely with Product Owners to translate analysis into well-defined user stories, support backlog grooming, and contribute to s…",adzuna,2026-05-08,6499.36,Not Specified
Data Analyst,us,"A client of Innova Solutions is immediately hiring for a Data Analyst Position type: Full-time, Contract Job duration: 10 Months Location: Tampa, FL As a Data Analyst , you will: Support and maintain wage type to general ledger (GL) mappings for global payroll operations using ADP Celergo. This role is primarily focused on ensuring accurate and consistent payroll-to-financial integrations across multiple countries and entities. Own and maintain global wage type to GL mappings within ADP Celergo…",adzuna,2026-05-08,5492.79,Not Specified
Data Analyst,us,"Job ID: GA-802964 Hybrid/Local Data Analyst (15) with BO, Tableau, Oracle/SQL Server, Data Management/cleaning, Criminal Justice experience Location: Atlanta, GA (DCS) Duration: 12 Months ON-SITE INTERVIEW REQUIRED ATLANTA/GA Skills: 5 years of knowledge and experience with databases (SQL, Oracle, etc) Required 5 Years 5 years of experience in accessing and extracting data from organizational and/or other institutional databases Required 5 Years Strong analytical skills with the ability to coll…",adzuna,2026-05-27,5055.16,Not Specified
Data Analyst,us,"Description At MetaPhase, we believe Quirky is Cool and being authentic is the only way to be! We take the work we do very seriously and do a lot of important mission-focused work for our clients. We are individuals with different passions and strengths who take as much joy in the work we do as from those we work with. Today, we have a team that is invested in creating new solutions that lean forward, challenge the status quo, but also reflect our intimate knowledge of our customers' business. …",adzuna,2026-05-21,5064.24,Not Specified
Data Analyst,us,"Title/Role: Database Administrator 1 Location: Decatur, GA 30030 Duration: 6 months Data Quality Analyst, responsible for accurate retrieval, analysis, and correction of data in MyInsight Elec. Health Record system. Needs advanced knowledge of SQL, a strong understanding of clinical workflows to identify and resolve data integrity issues Key Responsibilities: Front Desk Data Validation and Correction · Utilize SQL queries and Mylnsight reporting tools to identify and correct front desk-related …",adzuna,2026-04-29,3218.33,Not Specified
